country,year,Population,Population_density,Net_migration,Migration_percentage,iso3c,iso2c,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude
Africa Eastern and Southern,2021,702977106.0,47.35418253,-179444.0,-0.000255262935973906,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2020,685112979.0,46.15081314,-48955.0,-7.14553679474228E-05,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2019,667242986.0,44.94692958,-187410.0,-0.000280872191888428,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2018,649757148.0,43.7690819,-366105.0,-0.000563448976478208,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2017,632746570.0,42.62325498,-343075.0,-0.000542199699320377,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2016,616377605.0,41.52057076,-864708.0,-0.00140288679047643,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2015,600008424.0,40.41792755,394925.0,0.000658199092218078,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2014,583651101.0,39.31620331,-199608.0,-0.000341998840845157,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2013,567892149.0,38.25452,-92842.0,-0.000163485267692968,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2012,552530654.0,37.21963958,-285231.0,-0.00051622656215559,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2011,537792950.0,36.53185151,-683611.0,-0.00127114161686202,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2010,523459657.0,35.55880606,-371556.0,-0.000709808282321936,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2009,509410477.0,34.60605694,-473488.0,-0.000929482257193544,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2008,495748900.0,33.67805177,-359068.0,-0.000724294093239541,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2007,482406426.0,32.77156418,-214900.0,-0.000445474994564023,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2006,469508516.0,31.89546439,-284378.0,-0.00060569295403366,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2005,457153837.0,31.05614843,-357877.0,-0.0007828371349752,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2004,445281555.0,30.24971329,-331713.0,-0.000744951135467535,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2003,433807484.0,29.77072913,-342557.0,-0.000789652121354365,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2002,422741118.0,29.01128214,-452301.0,-0.00106992431240152,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Eastern and Southern,2001,412001885.0,28.27428518,-409728.0,-0.000994480886901767,AFE,ZH,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2021,478185907.0,52.86291254,-264802.0,-0.000553763705963839,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2020,466189102.0,51.53667929,-99761.0,-0.000213992561327613,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2019,454306063.0,50.22298387,-328552.0,-0.000723195279038131,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2018,442646825.0,48.93406926,-255888.0,-0.000578086152543848,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2017,431138704.0,47.66186045,-200823.0,-0.000465796733479998,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2016,419778384.0,46.40599086,-167286.0,-0.000398510276794052,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2015,408690375.0,45.18022492,-360393.0,-0.000881824045892933,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2014,397855507.0,43.98244342,-280418.0,-0.000704823723855103,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2013,387204553.0,42.80499338,-377305.0,-0.000974433273257507,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2012,376797999.0,41.65456146,-435876.0,-0.00115678958263257,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2011,366489204.0,40.51493669,-198802.0,-0.000542449812518897,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
